Year Payment Due Date,Month Description Payment Due Date,Supplier,Order Number,Branch Plant,Order Co,Supplier Number,Or Ty,Line Number,Supplier SO ,2nd Item Number,Concatenation Description ,Order Quantity,Quantity Open,Prev Qty Vouchered,Unit Cost,Extended Cost,Amount Open,Amount Received,Last Stat,Next Stat,Order Date,Promised Delivery Date,Receipt Date,Pymt Terms,Payment Terms,Payment Due Date
2021,June,VELO (OVERSEAS TECHNOLOGY LIMITED),94694,         522,00502,130000,OP,4.000,44350,23-116-18-00-20,Saddle - Niner Trail 2018 CrMo - Rail - Black,500,500,0,9.0000,"4,500.00","4,500.00",0.00,280,300,10/20/2020,6/2/2021,,,DUE UPON RECEIPT (DEFAULT),6/2/2021
2021,July,VELO (OVERSEAS TECHNOLOGY LIMITED),94696,         522,00502,130000,OP,3.000,44352,23-115-18-00-20,Saddle - Niner Trail 2018 Ti R - ail - Black,220,220,0,12.0000,"2,640.00","2,640.00",0.00,280,300,10/20/2020,7/5/2021,,,DUE UPON RECEIPT (DEFAULT),7/5/2021
2021,July,VELO (OVERSEAS TECHNOLOGY LIMITED),94696,         522,00502,130000,OP,4.000,44352,23-116-18-00-20,Saddle - Niner Trail 2018 CrMo - Rail - Black,500,500,0,9.0000,"4,500.00","4,500.00",0.00,280,300,10/20/2020,7/5/2021,,,DUE UPON RECEIPT (DEFAULT),7/5/2021
2021,April,SRAM,94708,         522,00502,130214,OP,1.000,44374,27-117-20-12-20,SRAM - SX EAGLE - Rear Deraill - eur - 00.7518.122.000,130,130,0,18.1200,"2,355.60","2,355.60",0.00,280,300,11/3/2020,2/2/2021,,006,NET 60 DAYS,4/3/2021
2021,May,SRAM,94709,         522,00502,130214,OP,4.000,44375,33-003-22-00-00,SRAM - DB G2 R DFBA FRT 20P 95 - 0,120,120,0,36.8900,"4,426.80","4,426.80",0.00,280,300,11/3/2020,3/2/2021,,006,NET 60 DAYS,5/1/2021
2021,May,SRAM,94716,         522,00502,130214,OP,8.000,44390,34-101-20-00-00,SRAM - ETAP - Battery - 00.301 - 8.201.000,30,30,0,55.0800,"1,652.40","1,652.40",0.00,280,300,11/9/2020,3/2/2021,,006,NET 60 DAYS,5/1/2021
2021,July,SHIMANO AMERICAN CORP.,94736,         522,00502,129970,OP,1.000,44414,17-281-20-51-00,SHIMANO - CS-M8100 - Cassette - - KCSM8100051,30,30,0,63.5900,"1,907.70","1,907.70",0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,1.000,44415,17-281-20-51-00,SHIMANO - CS-M8100 - Cassette - - KCSM8100051,20,20,0,63.5900,"1,271.80","1,271.80",0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,2.000,44415,27-280-20-12-20,SHIMANO - XT M8100 - 12sp - RE - AR DERAILLEUR - KRDM8100SGS,20,20,0,46.4500,929.00,929.00,0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,3.000,44415,31-282-20-12-10,SHIMANO - M8100 - Chain - ICNM - 8100126Q,20,20,0,18.0000,360.00,360.00,0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,4.000,44415,32-280-20-12-20,SHIMANO - XT M8100 - 12sp - SH - IFT LEVER - KSLM8100IRA,20,20,0,22.1000,442.00,442.00,0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,5.000,44415,33-204-21-00-20,SHIMANO - SM-MA90-F203P/PM - B - RAKE MOUNT ADAPTER - KSMMA90F2,40,40,0,3.7300,149.20,149.20,0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,6.000,44415,33-281-20-10-20,SHIMANO - M8120 - FRONT BRAKE - - KM8120KLFXNA100,20,20,0,83.7200,"1,674.40","1,674.40",0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,7.000,44415,33-282-21-17-20,SHIMANO -XT M8120 - REAR BRAKE - J-KIT - KM8120JRRXNX170,20,20,0,85.3900,"1,707.80","1,707.80",0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,July,SHIMANO AMERICAN CORP.,94737,         522,00502,129970,OP,8.000,44415,33-800-21-23-10,SHIMANO - MT800 - Rotor 203mm - CL - KRTMT800LE,40,40,0,25.8800,"1,035.20","1,035.20",0.00,280,300,11/19/2020,5/5/2021,,006,NET 60 DAYS,7/4/2021
2021,August,SHIMANO AMERICAN CORP.,94740,         522,00502,129970,OP,2.000,44418,27-280-20-12-20,SHIMANO - XT M8100 - 12sp - RE - AR DERAILLEUR - KRDM8100SGS,30,30,0,46.4500,"1,393.50","1,393.50",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,1.000,44419,17-281-20-51-00,SHIMANO - CS-M8100 - Cassette - - KCSM8100051,40,40,0,63.5900,"2,543.60","2,543.60",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,2.000,44419,27-280-20-12-20,SHIMANO - XT M8100 - 12sp - RE - AR DERAILLEUR - KRDM8100SGS,40,40,0,46.4500,"1,858.00","1,858.00",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,3.000,44419,31-282-20-12-10,SHIMANO - M8100 - Chain - ICNM - 8100126Q,40,40,0,18.0000,720.00,720.00,0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,4.000,44419,32-280-20-12-20,SHIMANO - XT M8100 - 12sp - SH - IFT LEVER - KSLM8100IRA,40,40,0,22.1000,884.00,884.00,0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,5.000,44419,33-201-20-80-20,SHIMANO - SM-MA90-F180P/P - BR - AKE MOUNT ADAPTER - KSMMA90F18,80,80,0,3.5000,280.00,280.00,0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,6.000,44419,33-281-20-10-20,SHIMANO - M8120 - FRONT BRAKE - - KM8120KLFXNA100,40,40,0,83.7200,"3,348.80","3,348.80",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,7.000,44419,33-282-21-17-20,SHIMANO -XT M8120 - REAR BRAKE - J-KIT - KM8120JRRXNX170,40,40,0,85.3900,"3,415.60","3,415.60",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94741,         522,00502,129970,OP,8.000,44419,33-800-20-80-10,SHIMANO - MT800 - Rotor 180mm - CL - KRTMT800ME,80,80,0,23.7500,"1,900.00","1,900.00",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,1.000,44420,17-281-20-51-00,SHIMANO - CS-M8100 - Cassette - - KCSM8100051,20,20,0,63.5900,"1,271.80","1,271.80",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,2.000,44420,27-280-20-12-20,SHIMANO - XT M8100 - 12sp - RE - AR DERAILLEUR - KRDM8100SGS,20,20,0,46.4500,929.00,929.00,0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,3.000,44420,31-282-20-12-10,SHIMANO - M8100 - Chain - ICNM - 8100126Q,20,20,0,18.0000,360.00,360.00,0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,4.000,44420,32-280-20-12-20,SHIMANO - XT M8100 - 12sp - SH - IFT LEVER - KSLM8100IRA,20,20,0,22.1000,442.00,442.00,0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,5.000,44420,33-204-21-00-20,SHIMANO - SM-MA90-F203P/PM - B - RAKE MOUNT ADAPTER - KSMMA90F2,40,40,0,3.7300,149.20,149.20,0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,6.000,44420,33-281-20-10-20,SHIMANO - M8120 - FRONT BRAKE - - KM8120KLFXNA100,20,20,0,83.7200,"1,674.40","1,674.40",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,7.000,44420,33-282-21-17-20,SHIMANO -XT M8120 - REAR BRAKE - J-KIT - KM8120JRRXNX170,20,20,0,85.3900,"1,707.80","1,707.80",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,August,SHIMANO AMERICAN CORP.,94742,         522,00502,129970,OP,8.000,44420,33-800-21-23-10,SHIMANO - MT800 - Rotor 203mm - CL - KRTMT800LE,40,40,0,25.8800,"1,035.20","1,035.20",0.00,280,300,11/19/2020,6/2/2021,,006,NET 60 DAYS,8/1/2021
2021,November,VELO (OVERSEAS TECHNOLOGY LIMITED),94743,         522,00502,130000,OP,1.000,44423,23-113-18-00-20,Saddle - Niner 2018 Ti Rail - - Black,150,150,0,14.7000,"2,205.00","2,205.00",0.00,280,300,11/23/2020,11/1/2021,,,DUE UPON RECEIPT (DEFAULT),11/1/2021
2021,November,VELO (OVERSEAS TECHNOLOGY LIMITED),94743,         522,00502,130000,OP,2.000,44423,23-114-18-00-20,Saddle - Niner 2018 CrMo Rail - - Black,250,250,0,11.7000,"2,925.00","2,925.00",0.00,280,300,11/23/2020,11/1/2021,,,DUE UPON RECEIPT (DEFAULT),11/1/2021
2022,February,VELO (OVERSEAS TECHNOLOGY LIMITED),94744,         522,00502,130000,OP,1.000,44424,23-115-18-00-20,Saddle - Niner Trail 2018 Ti R - ail - Black,220,220,0,13.2000,"2,904.00","2,904.00",0.00,280,300,11/23/2020,2/1/2022,,,DUE UPON RECEIPT (DEFAULT),2/1/2022
2022,February,VELO (OVERSEAS TECHNOLOGY LIMITED),94744,         522,00502,130000,OP,2.000,44424,23-116-18-00-20,Saddle - Niner Trail 2018 CrMo - Rail - Black,400,400,0,10.0100,"4,004.00","4,004.00",0.00,280,300,11/23/2020,2/1/2022,,,DUE UPON RECEIPT (DEFAULT),2/1/2022
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,1.000,44426,09-094-22-15-19,WHEEL - FRONT - STAN'S CREST S - 2 29 CL - 12X100,130,130,0,67.5000,"8,775.00","8,775.00",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,2.000,44426,09-094-22-15-20,WHEEL - REAR - STAN'S CREST S2 - 29 CL - 15X100/12X142 - SHIM,130,130,0,97.5000,"12,675.00","12,675.00",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,3.000,44426,09-801-22-16-19,WHEEL - FRONT - STAN'S ARCH S2 - CL - 15X110,90,90,0,67.7100,"6,093.90","6,093.90",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,4.000,44426,09-801-22-16-20,WHEEL - REAR - STAN'S ARCH S2 - CL - 110/148 NEO - SRAM XD,50,50,0,97.7200,"4,886.00","4,886.00",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,5.000,44426,09-801-22-17-20,WHEEL - REAR - STAN'S ARCH S2 - CL - 110/148 NEO - SHIM MS,40,40,0,97.7200,"3,908.80","3,908.80",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,6.000,44426,09-811-22-16-19,WHEEL - FRONT - STAN'S FLOW S2 - CL - 15X110,120,120,0,68.1400,"8,176.80","8,176.80",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,7.000,44426,09-811-22-16-20,WHEEL - REAR - STAN'S FLOW S2 - CL - 110/148 NEO - SRAM XD,80,80,0,98.1600,"7,852.80","7,852.80",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,STAN'S NOTUBES,94746,         522,00502,129923,OP,8.000,44426,09-811-22-17-20,WHEEL - REAR - STAN'S FLOW S2 - CL - 12X148 - SHIM MS,40,40,0,98.1600,"3,926.40","3,926.40",0.00,280,300,11/23/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,November,SELLE ITALIA,94764,         522,00502,137139,OP,1.000,44448,23-117-21-00-20,SADDLE - SELLE ITALIA X3 BOOST - - TR,101,101,0,0.0000,0.00,0.00,0.00,280,300,12/7/2020,10/5/2021,,003,NET 30 DAYS,11/4/2021
2021,November,SELLE ITALIA,94764,         522,00502,137139,OP,2.000,44448,23-118-21-00-20,SADDLE - SELLE ITALIA X3 - XCG - RV,500,500,0,7.8900,"3,945.00","3,945.00",0.00,280,300,12/7/2020,10/5/2021,,003,NET 30 DAYS,11/4/2021
2022,January,DT SWISS,94765,         522,00502,129814,OP,3.000,44449,09-688-21-15-20,DT SWISS M 1900 SPLINE 29 30 1 - 2/148 SRAM REAR WHEEL - CL - 2,43,43,0,109.9000,"4,725.70","4,725.70",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2022,January,DT SWISS,94765,         522,00502,129814,OP,4.000,44449,09-689-20-00-20,DT SWISS M 1900 SPLINE 29 30 F - RONT WHEEL - CL - 29,43,43,0,75.0000,"3,225.00","3,225.00",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2022,January,DT SWISS,94765,         522,00502,129814,OP,6.000,44449,10-159-21-15-00,DT SWISS XRC 1501 FRONT WHEEL - - CL - 29,10,10,0,266.7000,"2,667.00","2,667.00",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2022,January,DT SWISS,94765,         522,00502,129814,OP,7.000,44449,10-179-21-15-00,DT SWISS XR 1700 FRONT WHEEL - - CL - 29,30,30,0,111.2000,"3,336.00","3,336.00",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2022,January,DT SWISS,94765,         522,00502,129814,OP,13.000,44449,10-359-21-15-00,DT SWISS EXC 1501 FRONT WHEEL - - CL - 29,5,5,0,261.7000,"1,308.50","1,308.50",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2022,January,DT SWISS,94765,         522,00502,129814,OP,17.000,44449,11-159-21-15-00,DT SWISS XRC 1501 REAR WHEEL - - CL - 29,10,10,0,326.3000,"3,263.00","3,263.00",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2022,January,DT SWISS,94765,         522,00502,129814,OP,22.000,44449,11-279-21-15-00,DT SWISS XM 1700 REAR WHEEL - - CL - 29,30,30,0,166.9000,"5,007.00","5,007.00",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2022,January,DT SWISS,94765,         522,00502,129814,OP,24.000,44449,11-359-21-15-00,DT SWISS EXC 1501 REAR WHEEL - - CL - 29,5,5,0,321.3000,"1,606.50","1,606.50",0.00,280,300,12/7/2020,12/2/2021,,003,NET 30 DAYS,1/1/2022
2021,July,DT SWISS,94766,         522,00502,129814,OP,3.000,44450,09-688-21-15-20,DT SWISS M 1900 SPLINE 29 30 1 - 2/148 SRAM REAR WHEEL - CL - 2,70,70,0,109.9000,"7,693.00","7,693.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,4.000,44450,09-689-20-00-20,DT SWISS M 1900 SPLINE 29 30 F - RONT WHEEL - CL - 29,70,70,0,75.0000,"5,250.00","5,250.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,5.000,44450,10-129-21-15-00,DT SWISS XRC 1200 FRONT WHEEL - - CL - 29,10,10,0,353.5000,"3,535.00","3,535.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,6.000,44450,10-159-21-15-00,DT SWISS XRC 1501 FRONT WHEEL - - CL - 29,10,10,0,266.7000,"2,667.00","2,667.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,7.000,44450,10-179-21-15-00,DT SWISS XR 1700 FRONT WHEEL - - CL - 29,20,20,0,111.2000,"2,224.00","2,224.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,10.000,44450,10-259-21-15-00,DT SWISS XMC 1501 FRONT WHEEL - - CL - 29,2,2,0,266.7000,533.40,533.40,0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,13.000,44450,10-359-21-15-00,DT SWISS EXC 1501 FRONT WHEEL - - CL - 29,10,10,0,266.7000,"2,667.00","2,667.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,16.000,44450,11-129-21-15-00,DT SWISS XRC 1200 REAR WHEEL - - CL - 29,10,10,0,483.0000,"4,830.00","4,830.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,17.000,44450,11-159-21-15-00,DT SWISS XRC 1501 REAR WHEEL - - CL - 29,10,10,0,326.3000,"3,263.00","3,263.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,18.000,44450,11-179-21-15-00,DT SWISS XR 1700 REAR WHEEL - - CL - 29,20,20,0,166.9000,"3,338.00","3,338.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,21.000,44450,11-259-21-15-00,DT SWISS XMC 1501 REAR WHEEL - - CL - 29,2,2,0,326.3000,652.60,652.60,0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
2021,July,DT SWISS,94766,         522,00502,129814,OP,24.000,44450,11-359-21-15-00,DT SWISS EXC 1501 REAR WHEEL - - CL - 29,10,10,0,326.3000,"3,263.00","3,263.00",0.00,280,300,12/7/2020,6/1/2021,,003,NET 30 DAYS,7/1/2021
